"itemID","scaleID","type","item_de","item_en"
"NEOFFI05","NEO","Conscientiousness","Ich halte meine Sachen ordentlich und sauber.","I keep my belongings clean and neat."
"NEOFFI06","NEO","Neuroticism","Ich fühle mich anderen oft unterlegen.","I often feel inferior to others."
"NEOFFI07","NEO","Extraversion","Ich bin leicht zum Lachen zu bringen.","I laugh easily."
"NEOFFI08","NEO","Openness","Ich finde philosophische Diskussionen langweilig.","Once I find the right way to do something, I stick to it."
"NEOFFI09","NEO","Agreeableness","Ich bekomme häufiger Streit mit meiner Familie und meinen Kollegen.","I often get into arguments with my family and co-workers."
"NEOFFI10","NEO","Conscientiousness","Ich kann mir meine Zeit recht gut einteilen, so dass ich meine Angelegenheiten rechtzeitig beende.","I'm pretty good about pacing myself so as to get things done on time."
"NEOFFI11","NEO","Neuroticism","Wenn ich unter starkem Stress stehe, fühle ich mich manchmal, als ob ich zerbräche.","When I am under a great deal of stress, sometimes I feel like I'm going to pieces."
"NEOFFI12","NEO","Extraversion","Ich halte mich nicht für besonders fröhlich.","I don't consider myself especially ""light-hearted""."
"NEOFFI13","NEO","Openness","Mich begeistern die Motive, die ich in der Kunst und in der Natur finde.","I am intrigued by the patterns I find in art and nature."
"NEOFFI14","NEO","Agreeableness","Manche Leute halten mich für selbstsüchtig und selbstgefällig.","Some people think I'm selfish and egotistical."
"NEOFFI15","NEO","Conscientiousness","Ich bin kein sehr systematisch vorgehender Mensch.","I am not a very methodical person."
"NEOFFI16","NEO","Neuroticism","Ich fühle mich selten einsam oder traurig.","I rarely feel lonely or blue."
"NEOFFI17","NEO","Extraversion","Ich unterhalte mich wirklich gerne mit anderen Menschen.","I really enjoy talking to people."
"NEOFFI18","NEO","Openness","Ich glaube, dass es Schüler oft nur verwirrt und irreführt, wenn man sie Rednern zuhören lässt, die kontroverse Standpunkte vertreten.","I believe letting students hear controversial speakers can only confuse and mislead them."
"NEOFFI19","NEO","Agreeableness","Ich würde lieber mit anderen zusammenarbeiten, als mit ihnen zu wetteifern.","I would rather cooperate with others than compete with them."
"NEOFFI20","NEO","Conscientiousness","Ich versuche, alle mir übertragenen Aufgaben sehr gewissenhaft zu erledigen.","I try to perform all the tasks assigned to me conscientiously."
"NEOFFI21","NEO","Neuroticism","Ich fühle mich oft angespannt und nervös.","I often feel tense and jittery."
"NEOFFI22","NEO","Extraversion","Ich bin gerne im Zentrum des Geschehens.","I like to be where the action is."
"NEOFFI23","NEO","Openness","Poesie beeindruckt mich wenig oder gar nicht.","Poetry has little or no effect on me."
"NEOFFI24","NEO","Agreeableness","Im Hinblick auf die Absichten anderer bin ich eher zynisch und skeptisch.","I tend to be cynical and skeptical of others' intentions."
"NEOFFI25","NEO","Conscientiousness","Ich habe eine Reihe von klaren Zielen und arbeite systematisch auf sie zu.","I have a clear set of goals and work toward them in an orderly fashion."
"NEOFFI26","NEO","Neuroticism","Manchmal fühle ich mich völlig wertlos.","Sometimes I feel completely worthless."
"NEOFFI27","NEO","Extraversion","Ich ziehe es gewöhnlich vor, Dinge allein zu tun.","I usually prefer to do things alone."
"NEOFFI28","NEO","Openness","Ich probiere oft neue und fremde Speisen aus.","I often try new and foreign foods."
"NEOFFI29","NEO","Agreeableness","Ich glaube, dass man von den meisten Leuten ausgenutzt wird, wenn man es zulässt.","I believe that most people will take advantage of you if you let them."
"NEOFFI30","NEO","Conscientiousness","Ich vertrödele eine Menge Zeit, bevor ich mit einer Arbeit beginne.","I waste a lot of time before settling down to work."
"NEOFFI31","NEO","Neuroticism","Ich empfinde selten Furcht oder Angst.","I rarely feel fear or anxious."
"NEOFFI32","NEO","Extraversion","Ich habe oft das Gefühl, vor Energie überzuschäumen.","I often feel as if I'm bursting with energy."
"NEOFFI33","NEO","Openness","Ich nehme nur selten Notiz von den Stimmungen oder Gefühlen, die verschiedene Umgebungen hervorrufen.","I seldom notice the moods or feelings that different environments produce."
"NEOFFI34","NEO","Agreeableness","Die meisten Menschen, die ich kenne, mögen mich.","Most people I know like me."
"NEOFFI35","NEO","Conscientiousness","Ich arbeite hart, um meine Ziele zu erreichen.","I work hard to accomplish my goals."
"NEOFFI36","NEO","Neuroticism","Ich ärgere mich oft darüber, wie andere Leute mich behandeln.","I often get angry at the way people treat me."
"NEOFFI37","NEO","Extraversion","Ich bin ein fröhlicher, gut gelaunter Mensch.","I am a cheerful, high-spirited person."
"NEOFFI38","NEO","Openness","Ich glaube, dass wir bei ethischen Entscheidungen auf die Ansichten unserer religiösen Autoritäten achten sollten.","I believe we should look to our religious authorities for decisions on moral issues."
"NEOFFI39","NEO","Agreeableness","Manche Leute halten mich für kalt und berechnend.","Some people consider me cold and calculating."
"NEOFFI40","NEO","Conscientiousness","Wenn ich eine Verpflichtung eingehe, so kann man sich auf mich vestimmt verlassen.","When I make a commitment, I can always be counted on to follow through."
"NEOFFI41","NEO","Neuroticism","Zu häufig bin ich entmutigt und will aufgeben, wenn etwas schief geht.","Too often, when things go wrong, I get discouraged and feel like giving up."
"NEOFFI42","NEO","Extraversion","Ich bin kein gut gelaunter Optimist.","I am not a cheerful optimist."
"NEOFFI43","NEO","Openness","Wenn ich Literatur lese oder ein Kunstwerk betrachte, empfinde ich manchmal ein Frösteln oder eine Welle der Begeisterung.","Sometimes when I am reading poetry or looking at a work of art, I fell a chill or wave of excitement."
"NEOFFI44","NEO","Agreeableness","In Bezug auf meine Einstellungen bin ich nüchtern und unnachgiebig.","I'm hard-headed and tough-minded in my attitudes."
"NEOFFI45","NEO","Conscientiousness","Manchmal bin ich nicht so verlässlich oder zuverlässig, wie ich sein sollte.","Sometimes I'm not as dependable or reliable as I should be."
"NEOFFI46","NEO","Neuroticism","Ich bin selten traurig oder deprimiert.","I am seldom sad or depressed."
"NEOFFI47","NEO","Extraversion","Ich führe ein hektisches Leben.","My life is fast-paced."
"NEOFFI48","NEO","Openness","Ich habe wenig Interesse, über die Natur des Universums oder die Lage der Menschheit zu spekulieren.","I have little interest in speculating on the nature of the universe or the human condition."
"NEOFFI49","NEO","Agreeableness","Ich versuche, stets rücksichtsvoll und sensibel zu handeln.","I generally try to be thoughtful and considerate."
"NEOFFI50","NEO","Conscientiousness","Ich bin eine tüchtige Person, die ihre Arbeit immer erledigt.","I am a productive person who always gets the job done."
"NEOFFI51","NEO","Neuroticism","Ich fühle mich oft hilflos und wünsche mir eine Person, die meine Probleme löst.","I often feel helpless and want someone else to solve my problems."
"NEOFFI52","NEO","Extraversion","Ich bin ein sehr aktiver Mensch.","I am a very active person."
"NEOFFI53","NEO","Openness","Ich bin sehr wissbegierig.","I have a lot of intellectual curiosity."
"NEOFFI54","NEO","Agreeableness","Wenn ich Menschen nicht mag, so zeige ich ihnen das auch offen.","If I don't like people, I let them know it."
"NEOFFI55","NEO","Conscientiousness","Ich werde wohl niemals fähig sein, Ordnung in mein Leben zu bringen.","I never seem to be able to get organized."
"NEOFFI56","NEO","Neuroticism","Manchmal war mir etwas so peinlich, dass ich mich am liebsten versteckt hätte.","At times I have been so ashamed I just wanted to hide."
"NEOFFI57","NEO","Extraversion","Lieber würde ich meine eigenen Wege gehen, als eine Gruppe anzuführen.","I would rather go my own way than be a leader of others."
"NEOFFI58","NEO","Openness","Ich habe oft Spaß daran, mit Theorien oder abstrakten Ideen zu spielen.","I often enjoy playing with theories or abstract ideas."
"NEOFFI59","NEO","Agreeableness","Um zu bekommen, was ich will, bin ich notfalls bereit, Menschen zu manipulieren.","If necessary, I am willing to manipulate people to get what I want."
"NEOFFI60","NEO","Conscientiousness","Bei allem, was ich tue, strebe ich nach Perfektion.","I strive for excellence in everything I do."
"NEOFFI61","NEO","Agreeableness","Oft sind die Menschen nicht so nett, wie sie zu sein scheinen.","Often, people aren’t as nice as they seem to be."
"NEOFFI62","NEO","Agreeableness","Ich mache mir keine großen Gedanken über Obdachlose.","I don’t worry much about the homeless."
"NEOFFI63","NEO","Conscientiousness","Ich bin kein sehr ordentlicher oder strukturierter Mensch.","I’m not a very orderly or methodical person."
"NEOFFI64","NEO","Neuroticism","Ich habe oft das Gefühl, dass ich nicht so gut bin wie andere.","I often feel that I am not as good as others."
"NEOFFI65","NEO","Extraversion","Ich bin nicht fröhlich und unbekümmert.","I’m not happy-go-lucky."
"NEOFFI66","NEO","Agreeableness","Ich gerate manchmal in Streit.","I sometimes get into arguments."
