itemID,scaleID,type,item,embedding
NEOFFI08,NEO,Openness,Ich finde philosophische Diskussionen langweilig.,"[-0.03952577  0.00045936 -0.03417628 ... -0.04480557 -0.01426342
  0.02418153]"
NEOFFI09,NEO,Agreeableness,Ich bekomme hÃ¤ufiger Streit mit meiner Familie und meinen Kollegen.,"[-0.02550256  0.02146916 -0.05443624 ... -0.01448554 -0.00975865
  0.00021465]"
NEOFFI10,NEO,Conscientiousness,"Ich kann mir meine Zeit recht gut einteilen, so dass ich meine Angelegenheiten rechtzeitig beende.","[ 0.01113595  0.03316743 -0.0425039  ... -0.06584811 -0.06636927
 -0.05237983]"
NEOFFI11,NEO,Neuroticism,"Wenn ich unter starkem Stress stehe, fÃ¼hle ich mich manchmal, als ob ich zerbrÃ¤che.","[-0.02019961  0.0199047  -0.05680871 ... -0.03267443 -0.01668924
 -0.04209964]"
NEOFFI12,NEO,Extraversion,Ich halte mich nicht fÃ¼r besonders frÃ¶hlich.,"[-0.04099729  0.00791727 -0.05697788 ... -0.01914204 -0.0519819
  0.01563258]"
NEOFFI13,NEO,Openness,"Mich begeistern die Motive, die ich in der Kunst und in der Natur finde.","[-0.03187496 -0.01248952 -0.05976864 ... -0.00873597 -0.00894785
 -0.04169752]"
NEOFFI14,NEO,Agreeableness,Manche Leute halten mich fÃ¼r selbstsÃ¼chtig und selbstgefÃ¤llig.,"[-0.02005395  0.0607583  -0.042992   ... -0.03115051 -0.02797886
 -0.02128156]"
NEOFFI15,NEO,Conscientiousness,Ich bin kein sehr systematisch vorgehender Mensch.,"[-0.03740568  0.00030701 -0.07823347 ... -0.04344665 -0.04295312
 -0.00072813]"
NEOFFI16,NEO,Neuroticism,Ich fÃ¼hle mich selten einsam oder traurig.,"[-0.02750738  0.00091832 -0.04109971 ...  0.0253118  -0.02471337
 -0.04216382]"
NEOFFI17,NEO,Extraversion,Ich unterhalte mich wirklich gerne mit anderen Menschen.,"[-0.01354991  0.00431519 -0.03964053 ...  0.00529065 -0.0367973
 -0.00702634]"
NEOFFI18,NEO,Openness,"Ich glaube, dass es SchÃ¼ler oft nur verwirrt und irrefÃ¼hrt, wenn man sie Rednern zuhÃ¶ren lÃ¤sst, die kontroverse Standpunkte vertreten.","[-0.03092973  0.02984242 -0.04367747 ... -0.01603143  0.0193141
 -0.02210175]"
NEOFFI19,NEO,Agreeableness,"Ich wÃ¼rde lieber mit anderen zusammenarbeiten, als mit ihnen zu wetteifern.","[-0.0208565   0.02309203 -0.05601508 ...  0.00250483 -0.02598982
 -0.01744143]"
NEOFFI20,NEO,Conscientiousness,"Ich versuche, alle mir Ã¼bertragenen Aufgaben sehr gewissenhaft zu erledigen.","[-0.02060036  0.00899807 -0.04456489 ... -0.03315211 -0.05514299
  0.01347848]"
NEOFFI21,NEO,Neuroticism,Ich fÃ¼hle mich oft angespannt und nervÃ¶s.,"[-0.02644235  0.0163966  -0.03864444 ... -0.03530591 -0.02088055
 -0.0278249 ]"
NEOFFI22,NEO,Extraversion,Ich bin gerne im Zentrum des Geschehens.,"[ 0.01475092 -0.01835079 -0.07767815 ... -0.01513808 -0.02015079
 -0.00713646]"
NEOFFI23,NEO,Openness,Poesie beeindruckt mich wenig oder gar nicht.,"[-0.02494971  0.05970206 -0.00834838 ... -0.00021075 -0.01451127
 -0.02733786]"
NEOFFI24,NEO,Agreeableness,Im Hinblick auf die Absichten anderer bin ich eher zynisch und skeptisch.,"[-0.04263085  0.03601855 -0.01076547 ... -0.04929985 -0.00212236
 -0.0365562 ]"
NEOFFI25,NEO,Conscientiousness,Ich habe eine Reihe von klaren Zielen und arbeite systematisch auf sie zu.,"[-0.01406545  0.0130686  -0.07070037 ... -0.01959634 -0.0052078
 -0.01981443]"
NEOFFI26,NEO,Neuroticism,Manchmal fÃ¼hle ich mich vÃ¶llig wertlos.,"[-0.04944421  0.03870133 -0.03033591 ... -0.01868011 -0.03437295
 -0.04940313]"
NEOFFI27,NEO,Extraversion,"Ich ziehe es gewÃ¶hnlich vor, Dinge allein zu tun.","[-0.01685855  0.0426954  -0.07159813 ... -0.03802554 -0.04430564
 -0.00993338]"
NEOFFI28,NEO,Openness,Ich probiere oft neue und fremde Speisen aus.,"[-0.03652765 -0.00295935 -0.03649281 ... -0.01319715 -0.02196387
  0.00224438]"
NEOFFI29,NEO,Agreeableness,"Ich glaube, dass man von den meisten Leuten ausgenutzt wird, wenn man es zulÃ¤sst.","[-0.03631853  0.04808925 -0.0750889  ... -0.02178847  0.00119726
 -0.00166941]"
NEOFFI30,NEO,Conscientiousness,"Ich vertrÃ¶dele eine Menge Zeit, bevor ich mit einer Arbeit beginne.","[-0.01518067  0.0310111  -0.05294761 ... -0.05995633 -0.03822323
 -0.00770839]"
NEOFFI31,NEO,Neuroticism,Ich empfinde selten Furcht oder Angst.,"[-0.03798907  0.00588661 -0.05412874 ...  0.01884271 -0.02387328
 -0.02539845]"
NEOFFI32,NEO,Extraversion,"Ich habe oft das GefÃ¼hl, vor Energie Ã¼berzuschÃ¤umen.","[-0.04157125  0.01846947 -0.05812431 ... -0.01415291 -0.01116788
 -0.00867648]"
NEOFFI33,NEO,Openness,"Ich nehme nur selten Notiz von den Stimmungen oder GefÃ¼hlen, die verschiedene Umgebungen hervorrufen.","[-0.04812596  0.00910481 -0.05482477 ...  0.00708751 -0.02830572
 -0.02536193]"
NEOFFI34,NEO,Agreeableness,"Die meisten Menschen, die ich kenne, mÃ¶gen mich.","[ 0.01363417  0.03344493 -0.06879397 ... -0.01693253 -0.02215601
 -0.01371052]"
NEOFFI35,NEO,Conscientiousness,"Ich arbeite hart, um meine Ziele zu erreichen.","[-0.00831242  0.01436456 -0.06379314 ... -0.02199233 -0.0363734
 -0.02136648]"
NEOFFI36,NEO,Neuroticism,"Ich Ã¤rgere mich oft darÃ¼ber, wie andere Leute mich behandeln.","[-0.04690386  0.0426177  -0.04693196 ... -0.04812438  0.00658457
 -0.03772186]"
NEOFFI37,NEO,Extraversion,"Ich bin ein frÃ¶hlicher, gut gelaunter Mensch.","[-0.02543519  0.00520368 -0.06819968 ... -0.0287974  -0.05172051
 -0.05185668]"
NEOFFI38,NEO,Openness,"Ich glaube, dass wir bei ethischen Entscheidungen auf die Ansichten unserer religiÃ¶sen AutoritÃ¤ten achten sollten.","[-0.01900796 -0.01376609 -0.01369915 ... -0.02769754 -0.03941038
 -0.00659783]"
NEOFFI39,NEO,Agreeableness,Manche Leute halten mich fÃ¼r kalt und berechnend.,"[-0.01672868  0.03752429 -0.05400748 ... -0.03683606  0.0165098
 -0.0075232 ]"
NEOFFI40,NEO,Conscientiousness,"Wenn ich eine Verpflichtung eingehe, so kann man sich auf mich vestimmt verlassen.","[-0.01402321  0.03921359 -0.0506083  ... -0.02317948 -0.06341396
 -0.04652726]"
NEOFFI41,NEO,Neuroticism,"Zu hÃ¤ufig bin ich entmutigt und will aufgeben, wenn etwas schief geht.","[-0.02910594  0.02539055 -0.03615869 ... -0.05789416 -0.01579507
 -0.02391154]"
NEOFFI42,NEO,Extraversion,Ich bin kein gut gelaunter Optimist.,"[-0.04941427 -0.00337589 -0.05925836 ... -0.02799423 -0.02435909
 -0.0483398 ]"
NEOFFI43,NEO,Openness,"Wenn ich Literatur lese oder ein Kunstwerk betrachte, empfinde ich manchmal ein FrÃ¶steln oder eine Welle der Begeisterung.","[-0.03875681 -0.02619496 -0.02316071 ... -0.00662302 -0.04584178
 -0.00203306]"
NEOFFI44,NEO,Agreeableness,In Bezug auf meine Einstellungen bin ich nÃ¼chtern und unnachgiebig.,"[-0.01510676  0.01771257 -0.04514418 ... -0.06307279 -0.02228917
 -0.03107483]"
NEOFFI45,NEO,Conscientiousness,"Manchmal bin ich nicht so verlÃ¤sslich oder zuverlÃ¤ssig, wie ich sein sollte.","[-0.03148782  0.02226746 -0.03178742 ... -0.028983   -0.02669501
 -0.03350811]"
NEOFFI46,NEO,Neuroticism,Ich bin selten traurig oder deprimiert.,"[-0.03369535 -0.01529321 -0.0446488  ... -0.0001225  -0.02691411
 -0.05743719]"
NEOFFI47,NEO,Extraversion,Ich fÃ¼hre ein hektisches Leben.,"[-0.02039956  0.02313892 -0.05406921 ... -0.03009695 -0.03798496
  0.00432863]"
NEOFFI48,NEO,Openness,"Ich habe wenig Interesse, Ã¼ber die Natur des Universums oder die Lage der Menschheit zu spekulieren.","[-0.07098166  0.01621371 -0.02331776 ... -0.02673973 -0.01818663
 -0.02562778]"
NEOFFI49,NEO,Agreeableness,"Ich versuche, stets rÃ¼cksichtsvoll und sensibel zu handeln.","[-0.04770258  0.02168193 -0.00198011 ... -0.02572443 -0.01011183
 -0.00639092]"
NEOFFI50,NEO,Conscientiousness,"Ich bin eine tÃ¼chtige Person, die ihre Arbeit immer erledigt.","[-0.0454147   0.0246789  -0.0607975  ... -0.03569874 -0.06030586
 -0.03418504]"
NEOFFI51,NEO,Neuroticism,"Ich fÃ¼hle mich oft hilflos und wÃ¼nsche mir eine Person, die meine Probleme lÃ¶st.","[-0.02838097  0.04355814 -0.04333681 ... -0.0089412  -0.03819476
 -0.0229814 ]"
NEOFFI52,NEO,Extraversion,Ich bin ein sehr aktiver Mensch.,"[-0.00461211  0.01930758 -0.06403969 ... -0.03953501 -0.05142156
 -0.00963114]"
NEOFFI53,NEO,Openness,Ich bin sehr wissbegierig.,"[-0.04605419  0.01442948 -0.03598515 ... -0.05891008 -0.03265432
  0.0089561 ]"
NEOFFI54,NEO,Agreeableness,"Wenn ich Menschen nicht mag, so zeige ich ihnen das auch offen.","[-0.02256847 -0.0076211  -0.02466461 ...  0.00335277 -0.04376255
 -0.04377834]"
NEOFFI55,NEO,Conscientiousness,"Ich werde wohl niemals fÃ¤hig sein, Ordnung in mein Leben zu bringen.","[-0.00129254  0.03691928 -0.04108649 ... -0.03439491 -0.00417809
 -0.01705522]"
NEOFFI56,NEO,Neuroticism,"Manchmal war mir etwas so peinlich, dass ich mich am liebsten versteckt hÃ¤tte.","[-0.02632346  0.0335885  -0.05094785 ... -0.02048937 -0.02611774
 -0.03050244]"
NEOFFI57,NEO,Extraversion,"Lieber wÃ¼rde ich meine eigenen Wege gehen, als eine Gruppe anzufÃ¼hren.","[ 0.00526529  0.00836795 -0.07066086 ... -0.01913464 -0.00299198
  0.01617553]"
NEOFFI58,NEO,Openness,"Ich habe oft SpaÃ daran, mit Theorien oder abstrakten Ideen zu spielen.","[-0.06056114 -0.01539007 -0.03103108 ... -0.03413809 -0.00527129
 -0.01279218]"
NEOFFI59,NEO,Agreeableness,"Um zu bekommen, was ich will, bin ich notfalls bereit, Menschen zu manipulieren.","[-0.02289371  0.01895109 -0.03122741 ... -0.01825783 -0.01107806
 -0.02153334]"
NEOFFI60,NEO,Conscientiousness,"Bei allem, was ich tue, strebe ich nach Perfektion.","[-0.0347972   0.00729018 -0.05317264 ... -0.04123551 -0.04872583
  0.02723179]"
NEOFFI61,NEO,Agreeableness,"Oft sind die Menschen nicht so nett, wie sie zu sein scheinen.","[-0.04446307  0.01435853 -0.04672778 ... -0.00042121 -0.01121303
 -0.06677239]"
NEOFFI62,NEO,Agreeableness,Ich mache mir keine groÃen Gedanken Ã¼ber Obdachlose.,"[-0.0369799  -0.00786082 -0.05155674 ... -0.00503257 -0.04208652
 -0.03800489]"
NEOFFI63,NEO,Conscientiousness,Ich bin kein sehr ordentlicher oder strukturierter Mensch.,"[-0.0005068  -0.00758614 -0.05421572 ... -0.02994958 -0.03198423
 -0.02451428]"
NEOFFI64,NEO,Neuroticism,"Ich habe oft das GefÃ¼hl, dass ich nicht so gut bin wie andere.","[-0.04810584  0.00479818 -0.0491249  ... -0.0254885  -0.01534633
 -0.06675704]"
NEOFFI65,NEO,Extraversion,Ich bin nicht frÃ¶hlich und unbekÃ¼mmert.,"[-0.03462769  0.00807811 -0.06690503 ... -0.01221657 -0.04308243
 -0.00242103]"
NEOFFI66,NEO,Agreeableness,Ich gerate manchmal in Streit.,"[-0.01078445  0.01711539 -0.04950714 ... -0.02896467 -0.00462309
 -0.03860505]"
